date,event_time,event_title
2024-03-12,All day,Mid Sem E & F
2026-12-02,All day,End Sem E
2025-07-23,All day,Summer  End Sem / Supplementary Exams
2026-11-17,All day,Final TCF Submission (upto 28 Nov)
2024-09-25,All day,Mid sem C&D
2025-12-04,All day,End Sem F
2025-01-17,All day,Classes begin:Students report to FA(Add/Drop of courses start)
2025-09-24,All day,Mid Sem E&F
2025-10-03,All day,(KEF 2025)
2026-03-03,All day,Mid  Break
2026-03-08,All day,Mid  Break
2024-12-07,All day,Makeup Exam
2025-03-14,All day,Mid  Break
2026-06-01,All day,Summer Term Classes Begin
2025-03-12,All day,Mid  Break
2024-11-26,All day,Friday Schedule
2025-03-16,All day,Mid  Break
2026-07-30,All day,Grade submission for the summer semester / pending grades
2024-02-02,All day,Last Date to Add/Drop Courses
2026-11-23,All day,23 Friday Schedule
2024-12-11,All day,Grade Submission
2026-02-09,All day,Midsem TCF (upto 20 February)
2024-11-25,All day,Wednesday Schedule
2026-05-03,All day,End Sem B
2025-12-05,All day,End Sem G
2026-05-06,All day,End Sem E
2025-09-29,All day,Thursday Schedule
2025-10-18,All day,Mid  Break
2025-10-21,All day,Mid  Break
2026-12-07,All day,Vacation begins for Students
2024-11-11,All day,TCF Starts
2024-05-14,All day,End Sem B
2025-08-01,All day,Classes begin:Students report to FA(Add/Drop of courses start)
2026-11-28,All day,End Sem A
2024-12-02,All day,End Sem E
2026-03-12,All day,Last Date for showing / seeing midsem answer sheets
2026-07-20,All day,Summer  End Sem / Supplementary Exams
2026-10-02,All day,Mid  Break
2025-05-20,All day,End Sem E
2024-05-16,All day,End Sem D
2025-07-24,All day,Summer End Sem / Supplementary Exams
2024-03-29,All day,Mid Break
2024-05-15,All day,End Sem C
2024-09-27,All day,Mid Sem G&H
2025-12-02,All day,End Sem D
2025-07-31,All day,Grade submission for the summer semester / pending grades
2024-04-12,All day,FEST
2026-12-11,All day,Last Date for showing / seeing endsem answer sheets
2024-05-18,All day,End Sem F
2026-09-30,All day,Mid  Break
2025-02-24,All day,Midsem TCF (upto 2nd March)
2025-11-29,All day,End Sem A
2025-12-08,All day,Vacation begins for Students
2025-03-08,All day,Mid  Break
2024-09-24,All day,Mid Sem A&B
2026-07-24,All day,Summer  End Sem / Supplementary Exams
2026-10-03,All day,Mid  Break
2024-03-23,All day,Monday Schedule
2025-05-30,All day,(Last date for Makeup Exams)
2026-04-01,All day,(Last date for submission of the Research Proposal for the Next Se
2024-03-10,All day,Mid Sem A & B
2026-12-03,All day,End Sem F
2025-05-13,All day,Monday  Schedule
2025-05-21,All day,End Sem F
2024-12-05,All day,End Sem H
2024-03-27,All day,Mid Break
2025-03-03,All day,Mid Sem A&B
2025-11-17,All day,Final TCF Submission (upto 28 Nov)
2026-04-13,All day,Exodia(No Instucation Day)
2026-04-04,All day,Monday Schedule
2026-07-21,All day,Summer  End Sem / Supplementary Exams
2026-07-22,All day,Summer  End Sem / Supplementary Exams
2025-12-01,All day,End Sem C
2026-12-04,All day,End Sem G
2026-10-09,All day,RANN-NEETI No Instucation Day
2024-05-21,All day,sastri exam form filling
2026-02-27,All day,No Instruction Day (Foundation Day 2026)
2026-08-03,All day,Classes begin:Students report to FA(Add/Drop of courses start)
2025-09-30,All day,Friday Schedule
2026-12-17,All day,(Last date for Makeup Exams)
2026-08-14,All day,Last date  to Add/Drop courses
2024-12-03,All day,End Sem F
2026-03-14,All day,Expecto
2026-10-04,All day,Mid  Break
2026-09-27,All day,Mid  Break
2025-05-14,All day,Thursday Schedule Last day of Techning
2026-05-22,All day,(Last date for Makeup Exams)
2025-05-28,All day,Final CCM
2025-10-12,All day,RANN- NEETI
2025-03-06,All day,Mid Sem G&H
2025-03-13,All day,Mid  Break
2025-10-24,All day,Mid  Break
2026-02-24,All day,Mid Sem E&F
2026-01-16,All day,Last date  to Add/Drop courses
2024-10-28,All day,Mid Break
2025-10-10,All day,RANN- NEETI (No Instrucation Day)
2026-01-05,All day,Classes begin:Students report to FA(Add/Drop of courses start)
2025-05-22,All day,End Sem G
2026-10-01,All day,Mid  Break
2024-03-07,All day,Friday Schedule
2026-07-23,All day,Summer  End Sem / Supplementary Exams
2024-08-19,All day,Last date to Add/Drop courses
2025-08-11,All day,Last date  to Add/Drop courses
2025-10-20,All day,Mid  Break
2026-03-16,All day,Expecto    No Instruction Day
2026-05-05,All day,End Sem D
2025-05-18,All day,End Sem C
2026-04-29,All day,Friday Schedule (Last day of Teachning)
2026-12-15,All day,Grade Submission
