name,rating,total_rating,salaries
TCS,3.3,(1.2L),1.2L
Accenture,3.7,(75.4k),75.4k
Wipro,3.6,(66.5k),66.5k
Cognizant,3.7,(62.9k),62.9k
Capgemini,3.6,(55k),55k
HDFC Bank,3.8,(54.1k),54.1k
Infosys,3.5,(50k),50k
HCLTech,3.4,(47.2k),47.2k
ICICI Bank,3.9,(46.8k),46.8k
Tech Mahindra,3.3,(44.4k),44.4k
Genpact,3.6,(43.6k),43.6k
TP,3.9,(39.8k),39.8k
Axis Bank,3.6,(34.2k),34.2k
Jio,4.4,(34.1k),34.1k
Concentrix Corporation,3.5,(33k),33k
Amazon,3.9,(32.5k),32.5k
Reliance Retail,3.9,(27.9k),27.9k
iEnergizer,4.6,(27.6k),27.6k
LTM Limited,3.6,(27.2k),27.2k
HDB Financial Services,3.9,(26.4k),26.4k
IBM,3.9,(26.3k),26.3k
Larsen & Toubro Limited,3.9,(24.5k),24.5k
Deloitte,3.6,(24k),24k
Kotak Mahindra Bank,3.6,(23.1k),23.1k
Reliance Industries,4.0,(20.7k),20.7k
Vodafone Idea,3.9,(17.9k),17.9k
Bharti Airtel,3.8,(17.5k),17.5k
BYJU'S,3.2,(16.4k),16.4k
WNS,3.3,(15.7k),15.7k
IDFC FIRST Bank,4.0,(15.5k),15.5k
Ernst & Young,3.4,(15.1k),15.1k
IndusInd Bank,3.4,(14.7k),14.7k
AU Small Finance Bank,3.8,(14.6k),14.6k
Tata Motors,4.1,(14.5k),14.5k
Bajaj Finserv,3.9,(13.6k),13.6k
Flipkart,3.9,(13.4k),13.4k
Muthoot FinCorp,4.5,(13.4k),13.4k
PwC,3.3,(13.1k),13.1k
Mahindra & Mahindra,4.0,(12.5k),12.5k
HDFC Life,3.8,(12.4k),12.4k
Infosys BPM,3.5,(12.4k),12.4k
DXC Technology,3.6,(12.3k),12.3k
Bandhan Bank,3.7,(11.6k),11.6k
Digitide Solutions,3.4,(10.6k),10.6k
Yes Bank,3.7,(10.5k),10.5k
Mphasis,3.3,(10.5k),10.5k
Tata Steel,4.0,(10.2k),10.2k
Quess,3.8,(10k),10k
Asian Paints,3.9,(9.9k),9.9k
UltraTech Cement,4.1,(9.8k),9.8k
Startek,3.0,(9.8k),9.8k
Maruti Suzuki,4.1,(9.8k),9.8k
Paytm,3.2,(9.6k),9.6k
Bajaj Finance,3.9,(9.6k),9.6k
Shriram Finance,3.9,(9.4k),9.4k
Sutherland Global Services,3.3,(9.3k),9.3k
Equitas Small Finance Bank,4.3,(9.1k),9.1k
Coforge,3.3,(9.1k),9.1k
Wells Fargo,3.6,(9k),9k
Cipla,4.1,(8.8k),8.8k
EXL Service,3.6,(8.8k),8.8k
Ericsson,3.9,(8.6k),8.6k
Samsung,3.9,(8.5k),8.5k
Dr. Reddy's,4.0,(8.4k),8.4k
Optum Global Solutions,4.0,(8.2k),8.2k
JSW Steel,3.9,(8.2k),8.2k
Delhivery,3.8,(8.1k),8.1k
